vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
1972,20220720 20:05,41.896461693016256,-87.64294577933647,93,6662,66,Navy Pier,36138,False,22224276,66 -815,
8124,20220720 20:05,41.89104080200195,-87.61488342285156,89,6662,66,Navy Pier,45842,False,22224274,66 -814,
1934,20220720 20:05,41.892311096191406,-87.60999298095703,174,6662,66,Navy Pier,47887,False,88355183,66 -809,
1917,20220720 20:05,41.892311096191406,-87.60999298095703,180,6665,66,Austin,0,False,22224250,SN  -854,
1986,20220720 20:05,41.89530231913582,-87.73026913502177,267,6665,66,Austin,35615,False,88355186,SN  -852,
2021,20220720 20:05,41.89512333333333,-87.77458,94,6665,66,Austin,48030,False,10005667,SN  -859,
4078,20220720 20:05,41.89516698097696,-87.7745323959662,193,6665,66,Austin,48038,False,10005668,66 -804,
2016,20220720 20:07,41.89585743779721,-87.6800192128057,269,4357,66,Pulaski,21885,False,88355189,66 -817,
8191,20220720 20:07,41.8953914642334,-87.72085342407226,89,6662,66,Navy Pier,14777,False,22224278,SN  -858,
1951,20220720 20:07,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:07,41.89649200439453,-87.63738250732422,91,6662,66,Navy Pier,37673,False,22224276,66 -815,
8124,20220720 20:07,41.89247131347656,-87.61131286621094,45,6662,66,Navy Pier,47300,False,22224274,66 -814,
1934,20220720 20:07,41.892311096191406,-87.60999298095703,174,6662,66,Navy Pier,47887,False,88355183,66 -809,
1917,20220720 20:07,41.892058563232425,-87.61103302001953,262,6665,66,Austin,390,False,22224250,SN  -854,
1986,20220720 20:07,41.89513892096442,-87.73840022731471,270,6665,66,Austin,37844,False,88355186,SN  -852,
2021,20220720 20:07,41.894901275634766,-87.77444458007812,94,6665,66,Austin,47736,False,10005667,SN  -859,
4078,20220720 20:07,41.894893333333336,-87.77443833333334,193,6665,66,Austin,48038,False,10005668,66 -804,
2016,20220720 20:09,41.89581489562988,-87.68670336405437,268,4357,66,Pulaski,23676,False,88355189,66 -817,
4078,20220720 20:09,41.894752502441406,-87.77043914794922,90,6662,66,Navy Pier,1123,False,22224280,66 -804,
8191,20220720 20:09,41.895436477661136,-87.71661109924317,89,6662,66,Navy Pier,15951,False,22224278,SN  -858,
1951,20220720 20:09,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:09,41.89659881591797,-87.63125610351562,89,6662,66,Navy Pier,39340,False,22224276,66 -815,
8124,20220720 20:09,41.89260482788086,-87.6100082397461,183,6662,66,Navy Pier,47835,False,22224274,66 -814,
1934,20220720 20:09,41.892311096191406,-87.60999298095703,174,6665,66,Austin,0,False,88355182,66 -809,
1917,20220720 20:09,41.89183383517795,-87.61750200059679,272,6665,66,Austin,2255,False,22224250,SN  -854,
1986,20220720 20:09,41.89514923095703,-87.7456944329398,267,6665,66,Austin,39837,False,88355186,SN  -852,
2021,20220720 20:09,41.894901275634766,-87.77444458007812,180,6665,66,Austin,47736,False,10005667,SN  -859,
2016,20220720 20:11,41.895721435546875,-87.69656274968928,273,4357,66,Pulaski,26406,False,88355189,66 -817,
4078,20220720 20:11,41.89482023909285,-87.76370012437975,89,6662,66,Navy Pier,3041,False,22224280,66 -804,
8191,20220720 20:11,41.8954963684082,-87.71170656798316,89,6662,66,Navy Pier,17282,False,22224278,SN  -858,
1951,20220720 20:11,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:11,41.896640872955324,-87.62788791656494,86,6662,66,Navy Pier,40359,False,22224276,66 -815,
8124,20220720 20:11,41.89260482788086,-87.6100082397461,183,6662,66,Navy Pier,47835,False,22224274,66 -814,
1934,20220720 20:11,41.892311096191406,-87.60999298095703,174,6665,66,Austin,0,False,88355182,66 -809,
1917,20220720 20:11,41.891807556152344,-87.61941694176716,274,6665,66,Austin,2797,False,22224250,SN  -854,
1986,20220720 20:11,41.89503860473633,-87.75068950653076,268,6665,66,Austin,41199,False,88355186,SN  -852,
2021,20220720 20:11,41.894901275634766,-87.77444458007812,180,6665,66,Austin,47736,False,10005667,SN  -859,
2016,20220720 20:13,41.89564895629883,-87.70193443923701,272,4357,66,Pulaski,27860,False,88355189,66 -817,
2021,20220720 20:13,41.894901275634766,-87.77444458007812,180,6662,66,Navy Pier,56,False,88355179,SN  -859,
4078,20220720 20:13,41.89487651609025,-87.75842184390662,96,6662,66,Navy Pier,4461,False,22224280,66 -804,
8191,20220720 20:13,41.89552307128906,-87.70649644195056,89,6662,66,Navy Pier,18715,False,22224278,SN  -858,
1951,20220720 20:13,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:13,41.89668655395508,-87.62495803833008,100,6662,66,Navy Pier,41050,False,22224276,66 -815,
8124,20220720 20:13,41.892459869384766,-87.6100082397461,182,6662,66,Navy Pier,47887,False,22224274,66 -814,
1934,20220720 20:13,41.8922971089681,-87.60999170939128,173,6665,66,Austin,35,False,88355182,66 -809,
1917,20220720 20:13,41.89224815368652,-87.62012958526611,357,6665,66,Austin,3110,False,22224250,SN  -854,
1986,20220720 20:13,41.8950309753418,-87.7554971254789,264,6665,66,Austin,42515,False,88355186,SN  -852,
2016,20220720 20:15,41.8955078125,-87.71076178917518,268,4357,66,Pulaski,30248,False,88355189,66 -817,
2021,20220720 20:15,41.89472961425781,-87.77328491210938,88,6662,66,Navy Pier,397,False,88355179,SN  -859,
4078,20220720 20:15,41.89487075805664,-87.75531005859375,90,6662,66,Navy Pier,5258,False,22224280,66 -804,
8191,20220720 20:15,41.89558792114258,-87.70029716491699,88,6662,66,Navy Pier,20433,False,22224278,SN  -858,
1951,20220720 20:15,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:15,41.89668655395508,-87.62483024597168,99,6662,66,Navy Pier,41085,False,22224276,66 -815,
8124,20220720 20:15,41.892459869384766,-87.6100082397461,182,6662,66,Navy Pier,47887,False,22224274,66 -814,
1934,20220720 20:14,41.89196014404297,-87.61246954876444,267,6665,66,Austin,770,False,88355182,66 -809,
1917,20220720 20:15,41.89551467895508,-87.62030487060547,359,6665,66,Austin,4304,False,22224250,SN  -854,
1986,20220720 20:15,41.89490591513144,-87.76355392868454,268,6665,66,Austin,44754,False,88355186,SN  -852,
2016,20220720 20:17,41.89552307128906,-87.71860903226413,272,4357,66,Pulaski,32424,False,88355189,66 -817,
2021,20220720 20:17,41.894834466882656,-87.76438264589052,89,6662,66,Navy Pier,2831,False,88355179,SN  -859,
4078,20220720 20:17,41.89489555358887,-87.74821281433105,87,6662,66,Navy Pier,7264,False,22224280,66 -804,
8191,20220720 20:17,41.895721435546875,-87.69004535675049,89,6662,66,Navy Pier,23226,False,22224278,SN  -858,
1951,20220720 20:17,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:17,41.89500102996826,-87.62036895751953,157,6662,66,Navy Pier,42904,False,22224276,66 -815,
8124,20220720 20:17,41.89231491088867,-87.6100082397461,182,6665,66,Austin,0,False,22224251,66 -814,
1934,20220720 20:17,41.89197120666504,-87.62012481689453,350,6665,66,Austin,3009,False,88355182,66 -809,
1917,20220720 20:17,41.89682388305664,-87.6220474243164,268,6665,66,Austin,5255,False,22224250,SN  -854,
1986,20220720 20:17,41.894761494227815,-87.77158001491001,269,6665,66,Austin,46947,False,88355186,SN  -852,
2016,20220720 20:19,41.895068333333334,-87.72615833333333,179,4357,66,Pulaski,34360,False,88355189,66 -817,
2021,20220720 20:19,41.89486312866211,-87.75583553314209,89,6662,66,Navy Pier,5165,False,88355179,SN  -859,
4078,20220720 20:19,41.89489974975586,-87.74578704833985,83,6662,66,Navy Pier,7914,False,22224280,66 -804,
8191,20220720 20:19,41.89574432373047,-87.68701171875,89,6662,66,Navy Pier,23989,False,22224278,SN  -858,
1951,20220720 20:19,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:19,41.89221382141113,-87.62028999328614,148,6662,66,Navy Pier,43914,False,22224276,66 -815,
8124,20220720 20:19,41.89231491088867,-87.6100082397461,182,6665,66,Austin,0,False,22224251,66 -814,
1934,20220720 20:19,41.89594989352756,-87.62033547295465,357,6665,66,Austin,4464,False,88355182,66 -809,
1917,20220720 20:19,41.8967784001277,-87.62463731032152,267,6665,66,Austin,5958,False,22224250,SN  -854,
1986,20220720 20:19,41.894901275634766,-87.77444458007812,168,6982,66,Pulaski,68,False,88355221,SN  -852,
2021,20220720 20:21,41.894901275634766,-87.75102466085683,90,6662,66,Navy Pier,6487,False,88355179,SN  -859,
4078,20220720 20:21,41.895172119140625,-87.73177821819598,86,6662,66,Navy Pier,11730,False,22224280,66 -804,
8191,20220720 20:21,41.895870208740234,-87.68016990025838,88,6662,66,Navy Pier,25922,False,22224278,SN  -858,
1951,20220720 20:21,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:21,41.89101791381836,-87.61756496429443,93,6662,66,Navy Pier,45111,False,22224276,66 -815,
8124,20220720 20:21,41.89196014404297,-87.61242576267408,265,6665,66,Austin,759,False,22224251,66 -814,
1934,20220720 20:21,41.89682445526123,-87.62197227478028,272,6665,66,Austin,5235,False,88355182,66 -809,
1917,20220720 20:21,41.8967784001277,-87.62463731032152,267,6665,66,Austin,5958,False,22224250,SN  -854,
1986,20220720 20:21,41.89479282924107,-87.76799992152623,88,6982,66,Pulaski,1853,False,88355221,SN  -852,
2021,20220720 20:23,41.89490429560343,-87.74625444412231,90,6662,66,Navy Pier,7799,False,88355179,SN  -859,
