vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
8043,20220720 19:03,41.9021164623659,-87.66753387451172,178,15955,X9,74th,24034,False,10001802,9 -608,
8095,20220720 19:03,41.899872471736025,-87.66747283935547,178,15955,X9,74th,24861,False,10001803,9 -609,
8221,20220720 19:03,41.83880836732926,-87.66538250830865,175,15955,X9,74th,47397,False,10002347,9 -614,
8093,20220720 19:05,41.822256565093994,-87.66539764404297,176,4658,X9,95th,54115,False,10002346,9 -655,
8025,20220720 19:05,41.768132194143824,-87.66392517089844,177,4658,X9,95th,73953,False,10002345,X9  -612,
8033,20220720 19:05,41.735468511712064,-87.66321835452563,177,4658,X9,95th,85921,False,10002343,X9  -663,
1453,20220720 19:05,41.72480619870699,-87.66281215961163,178,4658,X9,95th,89820,False,10002344,X9  -603,
8225,20220720 19:05,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,False,10001762,X9  -655,
8094,20220720 19:05,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,False,10001763,X9  -654,
8040,20220720 19:05,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,False,10002429,X9  -653,
8074,20220720 19:05,41.954368591308594,-87.66225791464046,269,15955,X9,74th,3000,False,10001805,N9  -696,
8043,20220720 19:03,41.900315778008824,-87.66748809814453,179,15955,X9,74th,24704,False,10001802,9 -608,
8095,20220720 19:04,41.89570936438155,-87.66744232177734,180,15955,X9,74th,26368,False,10001803,9 -609,
8221,20220720 19:05,41.8355432510376,-87.66576385498047,178,15955,X9,74th,49261,False,10002347,9 -614,
8093,20220720 19:07,41.81254225510817,-87.66514998215895,178,4658,X9,95th,57668,False,10002346,9 -655,
8025,20220720 19:07,41.762303034464516,-87.66374969482422,178,4658,X9,95th,76097,False,10002345,X9  -612,
8033,20220720 19:07,41.72486349252554,-87.66281538743239,178,4658,X9,95th,89799,False,10002343,X9  -663,
8225,20220720 19:07,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,False,10001762,X9  -655,
8094,20220720 19:07,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,False,10001763,X9  -654,
8040,20220720 19:07,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,False,10002429,X9  -653,
8074,20220720 19:07,41.954307556152344,-87.66852569580078,269,15955,X9,74th,4699,False,10001805,N9  -696,
8043,20220720 19:03,41.900315778008824,-87.66748809814453,179,15955,X9,74th,24704,False,10001802,9 -608,
8095,20220720 19:07,41.89060393113356,-87.66715240478516,170,15955,X9,74th,28279,False,10001803,9 -609,
8221,20220720 19:07,41.82457256317139,-87.66548156738281,178,15955,X9,74th,53271,False,10002347,9 -614,
8093,20220720 19:09,41.80708158188972,-87.66501031405684,177,4658,X9,95th,59695,False,10002346,9 -655,
8025,20220720 19:09,41.756021881103514,-87.66365051269531,180,4658,X9,95th,78376,False,10002345,X9  -612,
8033,20220720 19:09,41.72092671548167,-87.66283638246598,178,4658,X9,95th,91207,False,10002343,X9  -663,
8225,20220720 19:09,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,False,10001762,X9  -655,
8094,20220720 19:09,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:09,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,True,10002429,X9  -653,
8074,20220720 19:08,41.95100328999181,-87.66902160644531,178,15955,X9,74th,6115,False,10001805,N9  -696,
8043,20220720 19:09,41.88256283195651,-87.66693239795919,177,15955,X9,74th,31190,False,10001802,9 -608,
8095,20220720 19:09,41.8809211730957,-87.66685485839844,180,15955,X9,74th,31794,False,10001803,9 -609,
8221,20220720 19:09,41.8113356590271,-87.66511535644531,178,15955,X9,74th,58108,False,10002347,9 -614,
8093,20220720 19:11,41.798728942871094,-87.6648178100586,179,4658,X9,95th,62755,False,10002346,9 -655,
8025,20220720 19:11,41.74753837585449,-87.66348266601562,179,4658,X9,95th,81472,False,10002345,X9  -612,
8225,20220720 19:11,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:11,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:11,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,True,10002429,X9  -653,
